query_table,candidate_table,query_col_name,candidate_col_name
csvData7001368__0.csv,csvData18230187.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData18230187.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData18230187.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData18230187.csv,Orthotropic,Orthotropic
csvData7001368__0.csv,csvData19180770.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData19180770.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData19180770.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData19180770.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData19180770.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData19180770.csv,Slab,Slab
csvData7001368__0.csv,csvData19180770.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData19180770.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData19180770.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData19180770.csv,Orthotropic,Orthotropic
csvData7001368__0.csv,csvData15391018.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData15391018.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData15391018.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData15391018.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData15391018.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData15391018.csv,Slab,Slab
csvData7001368__0.csv,csvData15391018.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData15391018.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData15391018.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData15391018.csv,Orthotropic,Orthotropic
csvData7001368__0.csv,csvData16373052.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData16373052.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData16373052.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData16373052.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData16373052.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData16373052.csv,Slab,Slab
csvData7001368__0.csv,csvData16373052.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData16373052.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData16373052.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData16373052.csv,Orthotropic,Orthotropic
csvData7001368__0.csv,csvData14297814.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData14297814.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData14297814.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData14297814.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData14297814.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData14297814.csv,Slab,Slab
csvData7001368__0.csv,csvData14297814.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData14297814.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData14297814.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData14297814.csv,Orthotropic,Orthotropic
csvData7001368__0.csv,csvData22069876.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData22069876.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData22069876.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData22069876.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData22069876.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData22069876.csv,Slab,Slab
csvData7001368__0.csv,csvData22069876.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData22069876.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData22069876.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData22069876.csv,Orthotropic,Orthotropic
csvData7001368__0.csv,csvData16825359.csv,Movable-Swing,Movable-Swing
csvData7001368__0.csv,csvData16825359.csv,Arch-Deck,Arch-Deck
csvData7001368__0.csv,csvData16825359.csv,Segmental Box Girder,Segmental Box Girder
csvData7001368__0.csv,csvData16825359.csv,Tunnel,Tunnel
csvData7001368__0.csv,csvData16825359.csv,Box Beam or Girders (Single or Spread),Box Beam or Girders (Single or Spread)
csvData7001368__0.csv,csvData16825359.csv,Slab,Slab
csvData7001368__0.csv,csvData16825359.csv,Truss-Deck,Truss-Deck
csvData7001368__0.csv,csvData16825359.csv,Stringer /Multi-Beam or Girder,Stringer /Multi-Beam or Girder
csvData7001368__0.csv,csvData16825359.csv,Stayed Girder,Stayed Girder
csvData7001368__0.csv,csvData16825359.csv,Orthotropic,Orthotropic
